2017-10-16 14:35:12,896 | root | INFO | Employee created: Test1 User1 - Test1.User1@trade.tt
2017-10-16 14:35:12,896 | root | INFO | Employee created: Test2 User2 - Test2.User2@trade.tt
2017-10-16 14:35:12,896 | root | WARNING | Add: 10 + 5 = 15
2017-10-16 14:35:12,896 | root | WARNING | Sub: 10 - 5 = 5
2017-10-16 14:35:12,896 | root | WARNING | Mul: 10 * 5 = 50
2017-10-16 14:35:12,896 | root | WARNING | Div: 10 * 5 = 2
2017-10-17 15:58:11,755 | root | INFO | Employee created: Test1 User1 - Test1.User1@trade.tt
2017-10-17 15:58:11,755 | root | INFO | Employee created: Test2 User2 - Test2.User2@trade.tt
2017-10-17 15:58:11,764 | root | WARNING | Add: 10 + 5 = 15
2017-10-17 15:58:11,764 | root | WARNING | Sub: 10 - 5 = 5
2017-10-17 15:58:11,764 | root | WARNING | Mul: 10 * 5 = 50
2017-10-17 15:58:11,765 | root | WARNING | Div: 10 * 5 = 2
2017-10-17 15:59:36,038 | root | INFO | Employee created: Test1 User1 - Test1.User1@trade.tt
2017-10-17 15:59:36,038 | root | INFO | Employee created: Test2 User2 - Test2.User2@trade.tt
2017-10-17 15:59:36,038 | root | WARNING | Add: 10 + 5 = 15
2017-10-17 15:59:36,038 | root | WARNING | Sub: 10 - 5 = 5
2017-10-17 15:59:36,038 | root | WARNING | Mul: 10 * 5 = 50
2017-10-17 15:59:36,038 | root | WARNING | Div: 10 * 5 = 2
2017-10-17 15:59:48,992 | root | INFO | Employee created: Test1 User1 - Test1.User1@trade.tt
2017-10-17 15:59:48,992 | root | INFO | Employee created: Test2 User2 - Test2.User2@trade.tt
2017-10-17 15:59:48,992 | root | WARNING | Add: 10 + 5 = 15
2017-10-17 15:59:48,992 | root | WARNING | Sub: 10 - 5 = 5
2017-10-17 15:59:48,992 | root | WARNING | Mul: 10 * 5 = 50
2017-10-17 15:59:48,992 | root | WARNING | Div: 10 * 5 = 2
2017-10-17 16:00:17,706 | root | INFO | Employee created: Test1 User1 - Test1.User1@trade.tt
2017-10-17 16:00:17,706 | root | INFO | Employee created: Test2 User2 - Test2.User2@trade.tt
2017-10-17 16:00:17,706 | root | WARNING | Add: 10 + 5 = 15
2017-10-17 16:00:17,706 | root | WARNING | Sub: 10 - 5 = 5
2017-10-17 16:00:17,706 | root | WARNING | Mul: 10 * 5 = 50
2017-10-17 16:00:17,706 | root | WARNING | Div: 10 * 5 = 2
2017-10-17 16:00:24,454 | root | INFO | Employee created: Test1 User1 - Test1.User1@trade.tt
2017-10-17 16:00:24,454 | root | INFO | Employee created: Test2 User2 - Test2.User2@trade.tt
2017-10-17 16:00:24,454 | root | WARNING | Add: 10 + 5 = 15
2017-10-17 16:00:24,454 | root | WARNING | Sub: 10 - 5 = 5
2017-10-17 16:00:24,454 | root | WARNING | Mul: 10 * 5 = 50
2017-10-17 16:00:24,454 | root | WARNING | Div: 10 * 5 = 2
2017-10-17 16:01:59,642 | root | INFO | Employee created: Test1 User1 - Test1.User1@trade.tt
2017-10-17 16:01:59,642 | root | INFO | Employee created: Test2 User2 - Test2.User2@trade.tt
2017-10-17 16:01:59,642 | root | WARNING | Add: 10 + 5 = 15
2017-10-17 16:01:59,642 | root | WARNING | Sub: 10 - 5 = 5
2017-10-17 16:01:59,642 | root | WARNING | Mul: 10 * 5 = 50
2017-10-17 16:01:59,642 | root | WARNING | Div: 10 * 5 = 2
2017-10-17 16:03:41,331 | root | INFO | Employee created: Test1 User1 - Test1.User1@trade.tt
2017-10-17 16:03:41,342 | root | INFO | Employee created: Test2 User2 - Test2.User2@trade.tt
2017-10-17 16:03:41,343 | root | WARNING | Add: 10 + 5 = 15
2017-10-17 16:03:41,343 | root | WARNING | Sub: 10 - 5 = 5
2017-10-17 16:03:41,344 | root | WARNING | Mul: 10 * 5 = 50
2017-10-17 16:03:41,344 | root | WARNING | Div: 10 * 5 = 2
2017-10-17 16:06:37,142 | root | INFO | Employee created: Test1 User1 - Test1.User1@trade.tt
2017-10-17 16:06:37,142 | root | INFO | Employee created: Test2 User2 - Test2.User2@trade.tt
2017-10-17 16:06:37,142 | root | WARNING | Add: 10 + 5 = 15
2017-10-17 16:06:37,142 | root | WARNING | Sub: 10 - 5 = 5
2017-10-17 16:06:37,142 | root | WARNING | Mul: 10 * 5 = 50
2017-10-17 16:06:37,142 | root | WARNING | Div: 10 * 5 = 2
2017-10-17 16:06:51,310 | root | INFO | Employee created: Test1 User1 - Test1.User1@trade.tt
2017-10-17 16:06:51,310 | root | INFO | Employee created: Test2 User2 - Test2.User2@trade.tt
2017-11-07 11:37:12,440 | root | INFO | Employee created: Test1 User1 - Test1.User1@trade.tt
2017-11-07 11:37:12,440 | root | INFO | Employee created: Test2 User2 - Test2.User2@trade.tt
2017-11-07 11:37:12,440 | root | WARNING | Add: 10 + 5 = 15
2017-11-07 11:37:12,440 | root | WARNING | Sub: 10 - 5 = 5
2017-11-07 11:37:12,440 | root | WARNING | Mul: 10 * 5 = 50
2017-11-07 11:37:12,440 | root | WARNING | Div: 10 * 5 = 2
