2017-04-05 14:27:59,238 | employee2 | INFO | Employee created: Test1 User1 - Test1.User1@trade.tt
2017-04-05 14:27:59,240 | employee2 | INFO | Employee created: Test2 User2 - Test2.User2@trade.tt
2017-04-05 14:29:35,613 | employee2 | INFO | Employee created: Test1 User1 - Test1.User1@trade.tt
2017-04-05 14:29:35,614 | employee2 | INFO | Employee created: Test2 User2 - Test2.User2@trade.tt
2017-04-05 14:29:48,650 | employee2 | INFO | Employee created: Test1 User1 - Test1.User1@trade.tt
2017-04-05 14:29:48,650 | employee2 | INFO | Employee created: Test2 User2 - Test2.User2@trade.tt
2017-04-05 14:30:45,811 | employee2 | INFO | Employee created: Test1 User1 - Test1.User1@trade.tt
2017-04-05 14:30:45,813 | employee2 | INFO | Employee created: Test2 User2 - Test2.User2@trade.tt
2017-04-05 14:31:36,306 | employee2 | INFO | Employee created: Test1 User1 - Test1.User1@trade.tt
2017-04-05 14:31:36,313 | employee2 | INFO | Employee created: Test2 User2 - Test2.User2@trade.tt
2017-04-05 14:39:24,262 | employee2 | INFO | Employee created: Test1 User1 - Test1.User1@trade.tt
2017-04-05 14:39:24,263 | employee2 | INFO | Employee created: Test2 User2 - Test2.User2@trade.tt
